ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-01T22:46:52.818509209Z,2025-01-01T22:46:52.818391837Z,10,1,29307,C,B,0,1.2506,1,130,16286,28101233,1.2506,1.2509,1,31,1,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:53.818613119Z,2025-01-01T22:46:53.818489627Z,10,1,29307,C,B,0,1.2506,1,130,16200,28101235,1.2505,1.2509,29,31,5,6,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:35.819463463Z,2025-01-01T22:47:35.819325331Z,10,1,29307,M,A,0,1.2509,1,130,14976,28101410,1.2505,1.2509,29,25,5,6,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:36.819477793Z,2025-01-01T22:47:36.819358213Z,10,1,29307,C,A,0,1.2509,1,130,14125,28101415,1.2505,1.2509,29,24,5,5,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:36.819487515Z,2025-01-01T22:47:36.819366739Z,10,1,29307,C,A,0,1.2509,4,130,12607,28101416,1.2505,1.2509,29,20,5,4,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:37.819540311Z,2025-01-01T22:47:37.819417927Z,10,1,29307,C,A,0,1.2509,4,130,17104,28101421,1.2505,1.2509,29,16,5,3,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:38.819587403Z,2025-01-01T22:47:38.819451973Z,10,1,29307,C,A,0,1.2509,4,130,17857,28101428,1.2505,1.2509,29,12,5,2,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:39.819612582Z,2025-01-01T22:47:39.819480433Z,10,1,29307,M,A,0,1.2509,1,130,15048,28101433,1.2505,1.2509,29,9,5,2,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:40.819619347Z,2025-01-01T22:47:40.819493165Z,10,1,29307,M,A,0,1.2509,7,130,15684,28101439,1.2505,1.2509,29,8,5,2,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
2025-01-01T22:47:40.819628923Z,2025-01-01T22:47:40.819505051Z,10,1,29307,C,A,0,1.2509,1,130,13263,28101440,1.2505,1.2509,29,7,5,1,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,1.2496,1.2518,35,33,1,5,6BH5
